Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,Status
khadlaj-island-dreams-for-unisex-extrait-de-parfum-100ml,Khadlaj Island Dreams For Unisex Extrait De Parfum 100ml,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,6.25,10.5,TRUE,TRUE,https://livish.com/cdn/shop/files/download-2025-10-23T122630.353.jpg?v=1761211743&width=600,1,Khadlaj Island Dreams For Unisex Extrait De Parfum 100ml,FALSE,active
french-avenue-liquid-brun-for-men-edp-100ml,French Avenue Liquid Brun For Men Edp 100ml,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,9.4,14.42,TRUE,TRUE,https://livish.com/cdn/shop/files/download-2025-10-30T150224.639.jpg?v=1761825957&width=600,1,French Avenue Liquid Brun For Men Edp 100ml,FALSE,active
afnan-supremacy-collectors-edition-men-edp-100ml,Afnan Supremacy Collector's Edition-men-edp-100ml,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,13.75,24.64,TRUE,TRUE,https://livish.com/cdn/shop/files/afnan-supremacy-collector-s-edition-eau-de-parfum-100-ml-man.jpg?v=1759217040&width=600,1,Afnan Supremacy Collector's Edition-men-edp-100ml,FALSE,active
khadlaj-island-vanilla-dunes-unisex-edp-100ml,Khadlaj-island Vanilla Dunes-unisex-edp-100ml,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,6.25,10.5,TRUE,TRUE,https://livish.com/cdn/shop/files/375x500.106802.2x.avif?v=1758564407&width=600,1,Khadlaj-island Vanilla Dunes-unisex-edp-100ml,FALSE,active
lattafa-khamrah-unisex-edp-100ml,Lattafa Khamrah-unisex-edp-100ml,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,8.75,13.5,TRUE,TRUE,https://livish.com/cdn/shop/files/2-60.jpg?v=1755667988&width=600,1,Lattafa Khamrah-unisex-edp-100ml,FALSE,active
khadlaj-island-unisex-edp-100ml,Khadlaj Island-unisex-edp-100ml,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,7.5,10.5,TRUE,TRUE,https://livish.com/cdn/shop/files/khadlaj-unisex-island-extrait-de-parfum-spray-34-oz-fragrances-6291107978789_2.jpg?v=1758486543&width=600,1,Khadlaj Island-unisex-edp-100ml,FALSE,active
al-haramain-dehn-al-oudh-cambodi-100ml-with-3cc-tester,Al Haramain - Dehn Al Oudh Cambodi - 100ml (With 3cc Tester),,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,15.5,18.0,TRUE,TRUE,https://livish.com/cdn/shop/files/ahp1879_combo_1_cf09feaf-4552-4e17-b31a-26746ad3da7c.jpg?v=1755669311&width=600,1,Al Haramain - Dehn Al Oudh Cambodi - 100ml (With 3cc Tester),FALSE,active
french-avenue-vulcan-for-men-edp-100ml,French Avenue Vulcan For Men Edp 100ml,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,8.8,14.42,TRUE,TRUE,https://livish.com/cdn/shop/files/download-2025-10-30T143814.720.jpg?v=1761824557&width=600,1,French Avenue Vulcan For Men Edp 100ml,FALSE,active
khadlaj-cream-velvet-women-edp-100ml,Khadlaj Cream Velvet-Women-Edp-100ml,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,7.5,13.35,TRUE,TRUE,https://livish.com/cdn/shop/files/khadlaj-fragancias-khadlaj-cream-velvet-edp-100ml-khadlaj-cream-velvet-edp-100ml-6291107978819-1171081025_600x_aeb0c826-8147-468d-b04c-55264ab5c45d.webp?v=1758477693&width=600,1,Khadlaj Cream Velvet-Women-Edp-100ml,FALSE,active
afnan-rare-reef-unisex-edp-100ml,Afnan Rare Reef-unisex-edp-100ml,,,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Perfume,perfume,TRUE,Title,Default Title,,0,shopify,100,deny,manual,7.82,13.35,TRUE,TRUE,https://livish.com/cdn/shop/files/AFNANRAREREEF-UNISEX-EDP-100ML.avif?v=1755668588&width=600,1,Afnan Rare Reef-unisex-edp-100ml,FALSE,active
